;position;reference;offer;company;town
75;Разработчик Python (ALD);https://spb.hh.ru/vacancy/70052938?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Группа компаний Астра;Москва
76;Middle/Senior python developer;https://spb.hh.ru/vacancy/73910485?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО К-ТЕХНОЛОГИИ;Москва
77;Middle Python разработчик;https://spb.hh.ru/vacancy/80935302?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;YADRO;Москва
78;Fullstack (python\javascript) Developer;https://spb.hh.ru/vacancy/78910554?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;YADRO;Санкт-Петербург
79;Middle+/Senior Python Developer;https://spb.hh.ru/vacancy/80000492?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Омега Технологии будущего;Санкт-Петербург
80;Разработчик Python;https://spb.hh.ru/vacancy/80821125?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;SayHire.agency;Москва
81;Python-разработчик;https://spb.hh.ru/vacancy/79251951?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Программный Продукт, ИТ-компания;Москва
82;Разработчик Python;https://spb.hh.ru/vacancy/78640955?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО Первая Грузовая Компания;Москва
83;Программист Python;https://spb.hh.ru/vacancy/81021744?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Sitronics Group;Москва
84;Fullstack Python Developer / Python Разработчик;https://spb.hh.ru/vacancy/81117785?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Группа компаний «Group4Media», Управляющая компания;Москва
85;Рython Вackend developer (Middle/Senior);https://spb.hh.ru/vacancy/77751890?from=vacancy_search_list&query=python+and+Django+and+Flask;до 250 000 руб.;ООО Лаборатория Наносемантика;Москва
86;Python-разработчик/аналитик;https://spb.hh.ru/vacancy/80679805?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Oil and Gas Production Tools;Санкт-Петербург
87;Middle+/Senior Backend developer (Python);https://spb.hh.ru/vacancy/80815096?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;X5 GROUP, Media;Узнать о жизни в компании 
88;Python-разработчик;https://spb.hh.ru/vacancy/70899389?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Иви;Москва
89;Middle/Senior Python Developer;https://spb.hh.ru/vacancy/81020891?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО БОЛЬШАЯ ТРОЙКА;Москва
90;Backend-разработчик / Разработчик Python;https://spb.hh.ru/vacancy/79419440?from=vacancy_search_list&query=python+and+Django+and+Flask;от 160 000 руб.;Университет ИТМО;Санкт-Петербург
91;Python разработчик (middle+ - senior);https://spb.hh.ru/vacancy/78886285?from=vacancy_search_list&query=python+and+Django+and+Flask;от 250 000 руб.;КСК-Эйч Ар;Москва
92;Наставник курсов по Python разработке;https://spb.hh.ru/vacancy/77332275?from=vacancy_search_list&query=python+and+Django+and+Flask;100 000 – 150 000 руб.;Skyeng;Санкт-Петербург
93;Старший Python + Go разработчик;https://spb.hh.ru/vacancy/81030576?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Иви;Москва
94;Middle Python разработчик;https://spb.hh.ru/vacancy/78634117?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;YADRO;Санкт-Петербург
95;Backend developer Python / Бэкенд-разработчик Python;https://spb.hh.ru/vacancy/79322881?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО СТМ;Санкт-Петербург
96;Python Developer;https://spb.hh.ru/vacancy/80316527?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Deventica;Санкт-Петербург
97;Senior/Middle Python developer (SberLB);https://spb.hh.ru/vacancy/77296899?from=vacancy_search_list&query=python+and+Django+and+Flask;до 300 000 руб.;SberTech;Москва
98;Middle Python (AWS) developer;https://spb.hh.ru/vacancy/80870187?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО WaveAccess;Санкт-Петербург
99;Middle Python Разработчик;https://spb.hh.ru/vacancy/77126191?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Кузница Кадров;Москва
100;Python developer (Machine Learning Engineer);https://spb.hh.ru/vacancy/80598307?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. Data Science;Москва
101;Python разработчик;https://spb.hh.ru/vacancy/79366227?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Газпром нефть;Санкт-Петербург
102;Senior Python Developer;https://spb.hh.ru/vacancy/76849150?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Бристоль, сеть магазинов;Москва
103;Developer Python;https://spb.hh.ru/vacancy/80559826?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО ИЦ АЙ-ТЕКО;Москва
104;Backend разработчик (Python);https://spb.hh.ru/vacancy/77958176?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;INSITECH Development;Москва
105;Full Stack Software Engineer;https://spb.hh.ru/vacancy/79807693?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.; Schlumberger. АО ИКФ-Сервис. Офис;Москва
106;Backend developer Python (middle/senior);https://spb.hh.ru/vacancy/80220138?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Ростелеком - Центры обработки данных;Москва
107;Python Developer (middle/senior);https://spb.hh.ru/vacancy/80666177?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Digex Co;Санкт-Петербург
108;Senior Python developer;https://spb.hh.ru/vacancy/80852049?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ARHITEX;Санкт-Петербург
109;Backend разработчик (Python);https://spb.hh.ru/vacancy/79165199?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;INSITECH Development;Санкт-Петербург
110;Middle / Senior Fullstack разработчик (Vue/Laravel) на part-time;https://spb.hh.ru/vacancy/80102779?from=vacancy_search_list&query=python+and+Django+and+Flask;150 000 – 250 000 руб.;IT-FLOT;Москва
111;Автор курса «Python-разработчик»;https://spb.hh.ru/vacancy/79828830?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Яндекс Практикум;Москва
112;Fullstack разработчик (JS, Python);https://spb.hh.ru/vacancy/75697177?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО АСТ;Москва
113;Python разработчик (Senior) (PT CERT);https://spb.hh.ru/vacancy/80517877?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Positive Technologies;Москва
114;Senior Python Developer;https://spb.hh.ru/vacancy/78743031?from=vacancy_search_list&query=python+and+Django+and+Flask;до 180 000 руб.;АО НИИ МАСШТАБ;Санкт-Петербург
115;Python разработчик (Senior) (PT CERT);https://spb.hh.ru/vacancy/80517879?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Positive Technologies;Санкт-Петербург
116;Senior or Lead Python Developer (ML\Al\CV);https://spb.hh.ru/vacancy/80604425?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Цифровые Сервисы;Москва
117;Python developer (middle/middle+);https://spb.hh.ru/vacancy/80729828?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;HEADS and HANDS;Санкт-Петербург
118;Python Senior Developer (SberData);https://spb.hh.ru/vacancy/80252605?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. IT;Москва
119;Инженер разработчик Python;https://spb.hh.ru/vacancy/81296839?from=vacancy_search_list&query=python+and+Django+and+Flask;120 000 – 120 000 руб.;ООО Голосовые Технологии;Москва
120;Python программист (Наставник онлайн-курса по Python);https://spb.hh.ru/vacancy/67864415?from=vacancy_search_list&query=python+and+Django+and+Flask;до 80 000 руб.;Hexlet;Москва
121;Python-разработчик (удаленно) — Сайты и боты;https://spb.hh.ru/vacancy/80780414?from=vacancy_search_list&query=python+and+Django+and+Flask;80 000 – 200 000 руб.;ИП Гусев Святослав Олегович;Москва
122;Python-разработчик (удаленно) — Сайты и боты;https://spb.hh.ru/vacancy/80780415?from=vacancy_search_list&query=python+and+Django+and+Flask;80 000 – 200 000 руб.;ИП Гусев Святослав Олегович;Санкт-Петербург
123;Python developer;https://spb.hh.ru/vacancy/77302829?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО АйТи Интеллект;Москва
124;Руководитель отдела разработки;https://spb.hh.ru/vacancy/80790789?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Sape;Москва
125;Senior Fullstack Developer;https://spb.hh.ru/vacancy/81603350?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;МАГНИТ, Розничная сеть;Москва
126;Data Engineer (Senior);https://spb.hh.ru/vacancy/80232704?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Группа Самолет;Узнать о жизни в компании 
127;Системный администратор Linux / Kubernetes (Middle DevOps инженер);https://spb.hh.ru/vacancy/81429732?from=vacancy_search_list&query=python+and+Django+and+Flask;180 000 – 250 000 руб.;ООО РА Дельта;Москва
128;Разработчик (стажер) аналитической платформы;https://spb.hh.ru/vacancy/81616152?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер для экспертов;Москва
129;Data Engineer;https://spb.hh.ru/vacancy/72312345?from=vacancy_search_list&query=python+and+Django+and+Flask;до 400 000 руб.;Rubbles;Москва
130;Python/C++ Software Developer (Scientific platform);https://spb.hh.ru/vacancy/79041274?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;The Skolkovo Institute of Science and Technology;Москва
131;Разработчик интеграций;https://spb.hh.ru/vacancy/79770030?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Межрегиональный ТранзитТелеком (АО МТТ);Москва
132;Веб-разработчик (fullstack);https://spb.hh.ru/vacancy/81621700?from=vacancy_search_list&query=python+and+Django+and+Flask;80 000 – 120 000 руб.;ООО Геоинформационные Сервисы;Санкт-Петербург
133;TechLead Cloud Infrastructure/Senior Software Developer;https://spb.hh.ru/vacancy/81718829?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер для экспертов;Москва
134;Media Research Specialist / Cпециалист по медиа-исследованиям;https://spb.hh.ru/vacancy/77534271?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;OMD OM Group;Москва
135;Главный специалист - DevOps;https://spb.hh.ru/vacancy/79037833?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Газпром нефть;Санкт-Петербург
136;Архитектор ПО;https://spb.hh.ru/vacancy/67285838?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО К-ТЕХНОЛОГИИ;Москва
137;Team Lead/Senior developer;https://spb.hh.ru/vacancy/75844251?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО К-ТЕХНОЛОГИИ;Москва
138;Data Scientist (Middle);https://spb.hh.ru/vacancy/78959208?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Газпромбанк;Москва
139;Специалист машинного обучения;https://spb.hh.ru/vacancy/81421797?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Объединение когнитивных ассоциативных систем;Санкт-Петербург
140;Data Engineer (Middle/middle+ );https://spb.hh.ru/vacancy/81043923?from=vacancy_search_list&query=python+and+Django+and+Flask;250 000 – 330 000 руб.;ООО Мерлин АИ;Москва
141;Менеджер по продажам (IT-аутсорсинг);https://spb.hh.ru/vacancy/81468778?from=vacancy_search_list&query=python+and+Django+and+Flask;от 100 000 руб.;ЛИЦА;Москва
142;Руководитель группы по средствам разработки ПО;https://spb.hh.ru/vacancy/81406089?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Группа компаний Астра;Москва
143;Стажер;https://spb.hh.ru/vacancy/80065641?from=vacancy_search_list&query=python+and+Django+and+Flask;20 000 – 40 000 руб.;ПАО МГТС;Москва
144;Разработчик/Ведущий разработчик DWH;https://spb.hh.ru/vacancy/81330870?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Деко Системс;Санкт-Петербург
145;Data Scientist (Senior);https://spb.hh.ru/vacancy/78959033?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Газпромбанк;Москва
146;Full Stack разработчик;https://spb.hh.ru/vacancy/81232575?from=vacancy_search_list&query=python+and+Django+and+Flask;от 180 000 руб.;Газарова Екатерина;Москва
147;Senior/Lead Data Engineer (Пассивы физических лиц);https://spb.hh.ru/vacancy/80005278?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. IT;Москва
148;Инженер поддержки (2 линия);https://spb.hh.ru/vacancy/78842529?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Tele2;Москва
149;Full-stack разработчик;https://spb.hh.ru/vacancy/81114761?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Кадровые Решения;Санкт-Петербург
150;Ruby-разработчик в инфраструктурную группу (Middle/middle+);https://spb.hh.ru/vacancy/81118154?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Rambler&Co;Москва
151;Fullstack (React+Python+СУБД) Developer;https://spb.hh.ru/vacancy/81075949?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;IBS;Москва
152;Fullstack (React+Python+СУБД) Developer;https://spb.hh.ru/vacancy/81075950?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;IBS;Санкт-Петербург
153;Разработчик/Ведущий разработчик DWH;https://spb.hh.ru/vacancy/81106524?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Деко Системс;Москва
154;Senior Data \ ML engineer;https://spb.hh.ru/vacancy/79770410?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. IT;Москва
155;Backend-разработчик в Контентные проекты;https://spb.hh.ru/vacancy/79582840?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. IT;Москва
156;ML Engineer;https://spb.hh.ru/vacancy/80560516?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Газпромбанк;Москва
157;Ведущий разработчик React Native;https://spb.hh.ru/vacancy/80435007?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО Лотереи Москвы;Москва
158;Ведущий ГИС аналитик;https://spb.hh.ru/vacancy/79218319?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Swift Technical;Москва
